NIND,ELITIST,PR_CROSS,PR_MUT,Av_Best,Peak_Best,Fit_var,Eff_1,Eff_2
50,0.2,1,0.1,22.2027332897783,21.2904440905302,1.41209385185995e-06,0.00398492550769322,0.000139919314959738
50,0.2,1,0.2,21.9605115122503,21.3319277953911,7.80428688563753e-07,0.00397896762578294,0.000144899482976966
100,0,0.5,0,22.2977836274788,21.3444991111875,1.44918994134945e-06,0.0019822810308524,7.13454285174189e-05
100,0,0.5,0.05,22.4085413165618,21.0566957405473,1.07701326989368e-06,0.00198821527579689,6.9245615572943e-05
100,0,0.5,0.1,22.5475471145816,21.6584358822383,7.07634471178865e-07,0.0019836794138162,6.75500877293743e-05
100,0,0.5,0.2,22.5520027053386,21.6424970438294,8.59787839264834e-07,0.00198474942344456,7.01015829721334e-05
100,0,0.7,0,24.0110908069856,22.8758743671787,5.92013275509177e-07,0.00196526590993437,5.91397313164469e-05
100,0,0.7,0.05,23.9802906465231,23.01048267168,4.39270661227656e-07,0.00196045998464038,6.34658452257744e-05
100,0,0.7,0.1,23.8861395796964,23.1670115753933,5.56079699096179e-07,0.00196002296214095,6.26841824585234e-05
100,0,0.7,0.2,24.161849738085,23.5363282508187,3.31618639002666e-07,0.00195097245139879,5.98432913240273e-05
100,0,0.9,0,24.7849499945612,23.8830560769054,2.53143698702399e-07,0.00194344793934388,5.80783328350338e-05
100,0,0.9,0.05,24.6051151464909,23.5929116103752,3.65579427418967e-07,0.00194635397694507,6.16529179825132e-05
100,0,0.9,0.1,24.7241976958618,24.0545278885212,3.44737450812981e-07,0.00193903337641591,5.59359729330902e-05
100,0,0.9,0.2,24.6685157512405,24.0557044701952,2.58006034459093e-07,0.0019377831612748,5.89493573061123e-05
100,0,1,0,24.9688889051126,24.5148735098798,1.22751462920476e-07,0.00194279862582366,5.75705353407709e-05
100,0,1,0.05,24.8733626108736,23.9204892519772,3.56549881981798e-07,0.00193651263120719,5.88833748807764e-05
100,0,1,0.1,24.8606820794186,23.6695652549829,5.14321068660371e-07,0.0019342000221759,5.95378986064292e-05
100,0,1,0.2,25.0032167214954,24.4363819124079,2.48453066859008e-07,0.0019367392581484,5.91736309714224e-05
100,0.05,0.5,0,22.5179865602532,20.5956114684034,3.97478196833322e-06,0.00199953400717931,7.32300619099995e-05
100,0.05,0.5,0.05,19.3129135483386,17.9252755967769,2.1752484588875e-06,0.00203994771198731,9.53529426447269e-05
100,0.05,0.5,0.1,19.5559191970596,18.2968723347163,2.25153293156935e-06,0.00203466888824516,9.29494261964369e-05
100,0.05,0.5,0.2,19.2883125163341,18.5795565408141,1.48000690379651e-06,0.00204304223887367,9.9317879302476e-05
100,0.05,0.7,0,23.135961271341,21.0023886247279,5.03851854912274e-06,0.00199157195425531,6.33624287065306e-05
100,0.05,0.7,0.05,20.433702570097,19.4372952051339,1.98160947851379e-06,0.00202825140323288,8.49490639278588e-05
100,0.05,0.7,0.1,20.6168901674515,19.5612952714423,1.56564346309417e-06,0.00202354797205651,8.03310879737786e-05
100,0.05,0.7,0.2,20.426988666349,19.5783812460686,1.63902193006699e-06,0.00202471138008253,8.3197003963982e-05
100,0.05,0.9,0,23.2007993588829,22.5559036241393,5.86527239744982e-07,0.00198940028989289,5.87772592275415e-05
100,0.05,0.9,0.05,22.7810634429915,21.4100278052683,1.60010316142458e-06,0.00198640056795869,6.11211248830036e-05
100,0.05,0.9,0.1,22.4924961815356,21.0009777863767,1.74252488829298e-06,0.00199902682225883,6.5783087739866e-05
100,0.05,0.9,0.2,22.6158185643658,21.2301483235035,1.30223634264986e-06,0.0019835059005798,6.23594832153372e-05
100,0.05,1,0,23.4426811106968,22.6088634922792,6.22793632487243e-07,0.00198447798081225,5.58410307577491e-05
100,0.05,1,0.05,23.2822310885756,22.7169947792813,3.49792098125163e-07,0.00198273310397232,5.74551362637056e-05
100,0.05,1,0.1,23.3199701716852,22.0744356946869,7.48430492518907e-07,0.00198146244955882,5.67982776322729e-05
100,0.05,1,0.2,23.1669362517531,22.3177269837896,8.64390471538641e-07,0.00198769884878981,5.83347507467612e-05
100,0.1,0.5,0,22.5351607155192,20.3736347218194,6.43238740356101e-06,0.00201014203355033,7.23771958975274e-05
100,0.1,0.5,0.05,19.4055754646787,18.650734565298,1.44216034886441e-06,0.00204341342746904,9.63876315868224e-05
100,0.1,0.5,0.1,19.2654475033408,18.1448086725717,1.48619864942861e-06,0.00205059959422784,9.54184737724361e-05
100,0.1,0.5,0.2,19.0569877857411,17.9880399504646,2.03479247962184e-06,0.0020548307952216,0.000101370280751855
100,0.1,0.7,0,22.6482949385561,21.256421267369,1.89081248462865e-06,0.00200781626983324,7.21841024356888e-05
100,0.1,0.7,0.05,19.9369682599447,18.8476492139655,2.85825732571726e-06,0.00203523221422644,8.999776075062e-05
100,0.1,0.7,0.1,19.803546209612,19.0408769188065,1.79157468402124e-06,0.00203636385191872,9.09263435059784e-05
100,0.1,0.7,0.2,19.9043911469382,18.1168910125458,2.71254184548339e-06,0.00203300921098189,9.1410344687175e-05
100,0.1,0.9,0,22.1747423417393,20.957639877139,1.94732573755841e-06,0.00201104656053915,7.19039860120342e-05
100,0.1,0.9,0.05,21.487920455687,20.6527556496117,9.11946153155018e-07,0.00201218590816959,7.32404633971233e-05
100,0.1,0.9,0.1,21.1881831247848,18.8692059071083,2.56765625826452e-06,0.002026485678148,7.71260529399393e-05
100,0.1,0.9,0.2,21.1840437707713,20.3777902631053,1.20221662778666e-06,0.00201574246815224,7.74063438922456e-05
100,0.1,1,0,22.478889164449,21.0883884445543,8.92075568047545e-07,0.00200393785510696,6.78043287643357e-05
100,0.1,1,0.05,22.4847509662473,21.7897813989403,5.02714808249301e-07,0.00200992894145405,6.69176311294775e-05
100,0.1,1,0.1,22.4565294194169,21.048866388104,9.61130319915961e-07,0.00200733164042484,6.554298602931e-05
100,0.1,1,0.2,22.4118022619921,21.1931365403345,6.4314579998469e-07,0.00200262811483543,6.67527931361108e-05
100,0.2,0.5,0,22.7950483003436,21.4254975821166,2.21621609877319e-06,0.00200653780402287,7.00876446299897e-05
100,0.2,0.5,0.05,19.3883187111616,18.2848129081458,1.62083254409352e-06,0.00203937411184618,9.6259424887182e-05
100,0.2,0.5,0.1,19.176537551365,17.9128178755922,2.63752786705806e-06,0.00204415308407543,9.68358500583076e-05
100,0.2,0.5,0.2,19.07936200782,18.1559189882108,1.5375943187578e-06,0.00204481318060198,9.91339545121686e-05
100,0.2,0.7,0,21.9081426631747,20.3282951683956,3.05433567898833e-06,0.00202871249542373,7.77814319169434e-05
100,0.2,0.7,0.05,19.4722631422348,18.4303193633323,2.39814267202777e-06,0.00204955001885687,9.87341704555977e-05
100,0.2,0.7,0.1,19.3260208871002,18.2202707731805,2.12857004163726e-06,0.00204912043040975,9.88573858824989e-05
100,0.2,0.7,0.2,19.3976706471608,18.4143255841309,2.08480485777716e-06,0.00205910185270586,9.46222073277585e-05
